representation,gene_line_mean_gain,equal_complex_mean_gain,ci_2.5,ci_97.5,positive_complex_fraction,n_gene_line_rows,n_complexes
GenePT_NCBI_UniProt,0.08101035894577471,0.06005075383132738,0.034752328625961566,0.08927520228859954,0.7894736842105263,182,38
GO_C,0.06840212817542123,0.05108007818089977,0.029574247820790333,0.07541663623459015,0.7368421052631579,182,38
SG_Static,0.05039247249548208,0.03527280761762697,0.016905539441992013,0.057907724822480404,0.7894736842105263,182,38
SG_H00,0.04672614818785973,0.029509779785993964,0.01206645770388035,0.05073554495545909,0.7105263157894737,182,38
SG_D12,0.044985980520073326,0.02780623255922162,0.010475089158183331,0.048899316909166254,0.6842105263157895,182,38
SG_H03,0.042093184267507,0.023783966023976956,0.0055173021707343745,0.04585744486019287,0.631578947368421,182,38
SG_H06,0.03401008759908937,0.022535169287106728,0.00901934550081029,0.03867573272795486,0.6578947368421053,182,38
SG_H12,0.025773513523165658,0.01735192066167693,0.004563946439608899,0.03301892608560203,0.5789473684210527,182,38
SG_CLSM06,0.031074388673464886,0.016814836929276905,0.00646755989411382,0.028022163629574354,0.6842105263157895,182,38
SG_MEANM12,0.025920448323741647,0.015697607900505717,0.00646749028783687,0.025839644113459095,0.6842105263157895,182,38
SG_DECM12,0.022817909384704738,0.009428625625146658,0.001188809951041872,0.018439565761489203,0.5263157894736842,182,38
SG_TARGETM12,0.01298252166114772,0.005657663794937859,-0.001680564150823083,0.013151594766595463,0.631578947368421,182,38
SG_Random,0.00609841772375847,0.005477248648986883,-0.0002273378557185423,0.010938897176701972,0.7368421052631579,182,38
